id,text
1496672676030595072,@wsbtv Young and stupid
1496672675397263362,@AmericanOutlaws ESPN is so frustrating when it comes to their soccer broadcasting…
1496672672809308161,"@MeidasTouch Sadly, their base is fine with paying more taxes so the rich can get a break.   They idolize the rich so much.   It's weird.   The rich doesn't idolize them, the rich uses them,   the rich think they are stupid."
1496672672423587840,"The people who didn’t see that I elevated their reputations and careers while they gossiped and stepped on me to get ahead will always think I’m wrong for feeling sad and mad about it. 

It’s time I remind myself that their minds are simply too small to see beyond themselves."
1496672671999926275,I hope Karen’s baby is Aaron’s bc she doing too much tryna make Fatima mad 🥵 #TylerPerrySistas
1496672671400091648,"@plasticskit @urfxvcrime @CYBERCAS1NO @JHarmelink182 @dearIord What are you talking about? when g4u debuted at #1 on bbh100 they hadn't sent it to the radio yet, you're so stupid i can't 😭😭"
1496672670745772039,"@ActlikeD @CBSBigBrother Me too, I am so mad"
1496672669944754181,@shroomboii I think this is the first pack we're seeing that's had the brunt of Covid hit it. Sims 4 releases have always had bugs but this is a whole other level. The move to working at home is probably what hit this most. I'm sad but studying game art during Covid it's hard to be mad
1496672669697204234,@nypost Lol...and what is the difference? These people are so stupid.
1496672669366112259,don’t mad flirt for fun
1496672668527046660,@rupasubramanya Whoa. thats funny. nothing funnier than a pissed off libtard
1496672666002104324,kinda pissed cause the listening parties for donda 1 went smoothly but ofc when he comes to miami is when the sound guys decide to smoke crack
1496672663011532804,I AM SO STUPID
1496672662415978498,I’m so mad
1496672661841326086,@Ehvun1400 @i2Epic @blakecissel U mad cuz I’m right
1496672661233147908,@ERosson1982 @historyfilmfan Oh yeah I hadn't thought about the unrestricted submarine warfare. So I think it may have been inevitable the US would have gotten involved in Europe either way. There's only so many US ships you can sink before the public gets pissed off enough to demand intervention.
1496672660864090112,"@wingingitmotown Reilly is pissed now, good job"
1496672660784361473,@nicguy101 I think her personality’s to big and people might get annoyed with her.
1496672656891924481,"@DonaldJTrumpJr Have you seen your girlfriend’s hideous makeup? In a couple of years, she will look a lot like Nancy (sorry Nancy). Not to mention your dad’s stupid hair and makeup. I think you are the one who is ‘high’, again.

https://t.co/aSU83DjpIV"
1496672655298207747,I can't believe this is a conversation. I'm not mad at it though. Thanks to everyone!!! @AppleMusic @Spotify https://t.co/ZZOnUKr1Kw
